Ability,Description
Arcane Surge,"When entering an active spot for the first time, its Special Attack is increased by 10% until it is knocked out or switches to the bench."
Ethereal Guard,Immune to stat‑lowering effects from opponents.
Spirit Channel,"When using a Mystic‑type move, restores HP equal to 20% of the damage dealt."
Veil Burn,Reduces damage taken from Special moves by 20%.
Tailwind Engine,"When entering an active spot for the first time, its Speed is increased by 10% until it is knocked out or switches to the bench."
Gust Infusion,"When using a Wind‑type move, increase its Attack by 5%."
Airborne,It can't be damaged by Mechanic-type moves
Cyclone Core,"When the creature knocks out an opponent, increases speed by 10%."
Comic Focus,"When entering an active spot for the first time, its Special Defense is increased by 10% until it is knocked out or switches to the bench."
Nebula Drift,"When using a Celestial‑type move, increase its Special Defense by 5%."
Starborn Aura,Partner's Attack and Special Attack are increased by 10%.
Radiant Blessing,"When hit by a Wind-type move, instead of taking damage heals 20 HP."
Ironhide,"When entering an active spot for the first time, its Defense is increased by 10% until it is knocked out or switches to the bench."
Circuit Breaker,Reduces damage taken from Physical moves by 20%.
Overclock Burden,It can't be damaged by Neutral-type moves.
Rustproof,It takes 50% less damage from Celestial-type moves.
Steadfast,"When entering an active spot for the first time, its Attack is increased by 10% until it is knocked out or switches to the bench."
Mystic Resonance,"When hit by a Mystic‑type move, increases Defense and Special Defense by 10%."
Balanced Mind,"When using a Neutral-type move, its power is increased by 15 points."
Focused Resolve,Partner's Defense and Special Defense are increased by 10%.
